Name	Type	Description
ligand_all_atoms_connected	bool	    Checks if all atoms form one single connected graph.
ligand_aromatic_ring_flatness	bool	    Checks if aromatic rings are flat
ligand_aromatic_ring_maximum_distance_from_plane	float	   Checks maximum distance of any atom from the plane. It's a measure of planarity, the closer to zero the better
ligand_bond_angles	bool
ligand_bond_lengths	bool
ligand_double_bond_flatness	bool
ligand_double_bond_maximum_distance_from_plane	float
ligand_double_bond_stereochemistry	bool
ligand_energy_ratio	float
ligand_ensemble_avg_energy	float
ligand_hydrogens	bool
ligand_inchi_crystal	str
ligand_inchi_crystal_valid	bool
ligand_inchi_docked	str
ligand_inchi_docked_valid	bool
ligand_inchi_overall	bool
ligand_inchi_version	bool
ligand_internal_energy	float
ligand_internal_steric_clash	bool
ligand_kabsch_rmsd	float
ligand_longest_bond_relative_length	float
ligand_minimum_distance_to_inorganic_cofactors	bool
ligand_minimum_distance_to_organic_cofactors	bool
ligand_minimum_distance_to_protein	bool
ligand_minimum_distance_to_waters	bool
ligand_mol_cond_loaded	bool
ligand_mol_pred_energy	float
ligand_mol_pred_loaded	bool
ligand_mol_true_loaded	bool
ligand_molecular_bonds	bool
ligand_molecular_formula	bool
ligand_molecular_weight	bool
ligand_molvs_validation	float
ligand_most_extreme_clash_inorganic_cofactors	bool
ligand_most_extreme_clash_organic_cofactors	bool
ligand_most_extreme_clash_protein	bool
ligand_most_extreme_clash_waters	bool
ligand_most_extreme_distance_inorganic_cofactors	float
ligand_most_extreme_distance_organic_cofactors	float
ligand_most_extreme_distance_protein	float
ligand_most_extreme_distance_waters	float
ligand_most_extreme_ligand_atom_id_inorganic_cofactors	int
ligand_most_extreme_ligand_atom_id_organic_cofactors	int
ligand_most_extreme_ligand_atom_id_protein	int
ligand_most_extreme_ligand_atom_id_waters	int
ligand_most_extreme_ligand_element_inorganic_cofactors	str
ligand_most_extreme_ligand_element_organic_cofactors	str
ligand_most_extreme_ligand_element_protein	str
ligand_most_extreme_ligand_element_waters	str
ligand_most_extreme_ligand_vdw_inorganic_cofactors	float
ligand_most_extreme_ligand_vdw_organic_cofactors	float
ligand_most_extreme_ligand_vdw_protein	float
ligand_most_extreme_ligand_vdw_waters	float
ligand_most_extreme_protein_atom_id_inorganic_cofactors	int
ligand_most_extreme_protein_atom_id_organic_cofactors	int
ligand_most_extreme_protein_atom_id_protein	int
ligand_most_extreme_protein_atom_id_waters	int
ligand_most_extreme_protein_element_inorganic_cofactors	str
ligand_most_extreme_protein_element_organic_cofactors	str
ligand_most_extreme_protein_element_protein	str
ligand_most_extreme_protein_element_waters	str
ligand_most_extreme_protein_vdw_inorganic_cofactors	float
ligand_most_extreme_protein_vdw_organic_cofactors	float
ligand_most_extreme_protein_vdw_protein	float
ligand_most_extreme_protein_vdw_waters	float
ligand_most_extreme_relative_angle	float
ligand_most_extreme_relative_distance_inorganic_cofactors	float
ligand_most_extreme_relative_distance_organic_cofactors	float
ligand_most_extreme_relative_distance_protein	float
ligand_most_extreme_relative_distance_waters	float
ligand_most_extreme_sum_radii_inorganic_cofactors	float
ligand_most_extreme_sum_radii_organic_cofactors	float
ligand_most_extreme_sum_radii_protein	float
ligand_most_extreme_sum_radii_scaled_inorganic_cofactors	float
ligand_most_extreme_sum_radii_scaled_organic_cofactors	float
ligand_most_extreme_sum_radii_scaled_protein	float
ligand_most_extreme_sum_radii_scaled_waters	float
ligand_most_extreme_sum_radii_waters	float
ligand_net_charge	bool
ligand_not_too_far_away_inorganic_cofactors	bool
ligand_not_too_far_away_organic_cofactors	bool
ligand_not_too_far_away_waters	bool
ligand_num_pairwise_clashes_inorganic_cofactors	int
ligand_num_pairwise_clashes_organic_cofactors	int
ligand_num_pairwise_clashes_protein	int
ligand_num_pairwise_clashes_waters	int
ligand_number_angles	int
ligand_number_aromatic_rings_checked	int
ligand_number_aromatic_rings_pass	int
ligand_number_bonds	int
ligand_number_clashes	int
ligand_number_double_bonds_checked	int
ligand_number_double_bonds_pass	int
ligand_number_long_outlier_bonds	int
ligand_number_noncov_pairs	int
ligand_number_outlier_angles	int
ligand_number_short_outlier_bonds	int
ligand_number_valid_angles	int
ligand_number_valid_bonds	int
ligand_number_valid_noncov_pairs	int
ligand_passes_kekulization	bool
ligand_passes_valence_checks	bool
ligand_protein-ligand_maximum_distance	bool
ligand_protons	bool
ligand_rmsd_≤_2å	bool
ligand_sanitization	bool
ligand_shortest_bond_relative_length	float
ligand_shortest_noncovalent_relative_distance	float
ligand_smallest_distance_inorganic_cofactors	float
ligand_smallest_distance_organic_cofactors	float
ligand_smallest_distance_protein	float
ligand_smallest_distance_waters	float
ligand_stereo_sp3	bool
ligand_stereo_sp3_inverted	bool
ligand_stereo_type	bool
ligand_stereochemistry_preserved	bool
ligand_tetrahedral_chirality	bool
ligand_volume_overlap_inorganic_cofactors	float
ligand_volume_overlap_organic_cofactors	float
ligand_volume_overlap_protein	float
ligand_volume_overlap_waters	float
ligand_volume_overlap_with_inorganic_cofactors	bool
ligand_volume_overlap_with_organic_cofactors	bool
ligand_volume_overlap_with_protein	bool
ligand_volume_overlap_with_waters	bool
